param_rsi_oversold_threshold,param_rsi_overbought_threshold,param_stop_atr_multiplier,param_take_profit_atr_multiplier,param_max_bb_width,param_min_rel_volume,param_trend_filter_enabled,param_macd_filter_enabled,param_support_resistance_filter,stat_total_trades,stat_winning_trades,stat_win_rate,stat_profit_factor,stat_total_return,stat_total_return_pct,stat_max_drawdown_pct,stat_avg_trade,stat_sharpe_ratio
25,65,1.5,5.0,0.2,1.2,True,True,True,15,7,46.666666666666664,2.7912715068584553,1467.6003708973112,14.676003708973113,2.1678375897300146,106.92069700609672,0.3223878890891074
30,65,1.5,5.0,0.2,1.2,True,True,True,15,7,46.666666666666664,2.7912715068584553,1467.6003708973112,14.676003708973113,2.1678375897300146,106.92069700609672,0.3223878890891074
35,65,1.5,5.0,0.2,1.2,True,True,True,15,7,46.666666666666664,2.7912715068584553,1467.6003708973112,14.676003708973113,2.1678375897300146,106.92069700609672,0.3223878890891074
25,65,2.0,5.0,0.2,1.2,True,True,True,15,8,53.333333333333336,2.7953518414590084,1253.0873765941906,12.530873765941905,2.1238854185868963,90.10898152279718,0.3387753237428455
30,65,2.0,5.0,0.2,1.2,True,True,True,15,8,53.333333333333336,2.7953518414590084,1253.0873765941906,12.530873765941905,2.1238854185868963,90.10898152279718,0.3387753237428455
35,65,2.0,5.0,0.2,1.2,True,True,True,15,8,53.333333333333336,2.7953518414590084,1253.0873765941906,12.530873765941905,2.1238854185868963,90.10898152279718,0.3387753237428455
25,65,2.0,3.0,0.2,1.2,True,True,True,15,11,73.33333333333333,3.9901954719775232,1212.326726299414,12.12326726299414,2.1238854185869003,87.44913552657758,0.4597545291386653
30,65,2.0,3.0,0.2,1.2,True,True,True,15,11,73.33333333333333,3.9901954719775232,1212.326726299414,12.12326726299414,2.1238854185869003,87.44913552657758,0.4597545291386653
35,65,2.0,3.0,0.2,1.2,True,True,True,15,11,73.33333333333333,3.9901954719775232,1212.326726299414,12.12326726299414,2.1238854185869003,87.44913552657758,0.4597545291386653
25,65,2.0,4.0,0.2,1.2,True,True,True,15,9,60.0,2.9027444303074796,1149.0509958815019,11.49050995881502,2.123885418586904,83.2293608718473,0.3623631991525333
30,65,2.0,4.0,0.2,1.2,True,True,True,15,9,60.0,2.9027444303074796,1149.0509958815019,11.49050995881502,2.123885418586904,83.2293608718473,0.3623631991525333
35,65,2.0,4.0,0.2,1.2,True,True,True,15,9,60.0,2.9027444303074796,1149.0509958815019,11.49050995881502,2.123885418586904,83.2293608718473,0.3623631991525333
25,65,1.5,3.0,0.2,1.2,True,True,True,15,9,60.0,2.908746712160435,1114.6296596776338,11.146296596776338,2.167837589729995,83.19159330497774,0.3531042989062983
30,65,1.5,3.0,0.2,1.2,True,True,True,15,9,60.0,2.908746712160435,1114.6296596776338,11.146296596776338,2.167837589729995,83.19159330497774,0.3531042989062983
35,65,1.5,3.0,0.2,1.2,True,True,True,15,9,60.0,2.908746712160435,1114.6296596776338,11.146296596776338,2.167837589729995,83.19159330497774,0.3531042989062983
25,65,1.5,4.0,0.2,1.2,True,True,True,15,7,46.666666666666664,2.257564586076978,958.7314976133912,9.587314976133912,2.167837589729999,72.7727568304059,0.2627401735909602
30,65,1.5,4.0,0.2,1.2,True,True,True,15,7,46.666666666666664,2.257564586076978,958.7314976133912,9.587314976133912,2.167837589729999,72.7727568304059,0.2627401735909602
35,65,1.5,4.0,0.2,1.2,True,True,True,15,7,46.666666666666664,2.257564586076978,958.7314976133912,9.587314976133912,2.167837589729999,72.7727568304059,0.2627401735909602
25,70,1.5,5.0,0.2,1.2,True,True,True,8,4,50.0,3.211235404492477,879.6651847443936,8.796651847443936,1.0783579899181954,118.91721671102334,0.2636419680752492
30,70,1.5,5.0,0.2,1.2,True,True,True,8,4,50.0,3.211235404492477,879.6651847443936,8.796651847443936,1.0783579899181954,118.91721671102334,0.2636419680752492
35,70,1.5,5.0,0.2,1.2,True,True,True,8,4,50.0,3.211235404492477,879.6651847443936,8.796651847443936,1.0783579899181954,118.91721671102334,0.2636419680752492
25,65,2.5,3.0,0.2,1.2,True,True,True,15,11,73.33333333333333,3.2149634562603446,872.7442422648983,8.727442422648982,2.0975102026884254,63.39540861470566,0.4036330996190902
30,65,2.5,3.0,0.2,1.2,True,True,True,15,11,73.33333333333333,3.2149634562603446,872.7442422648983,8.727442422648982,2.0975102026884254,63.39540861470566,0.4036330996190902
35,65,2.5,3.0,0.2,1.2,True,True,True,15,11,73.33333333333333,3.2149634562603446,872.7442422648983,8.727442422648982,2.0975102026884254,63.39540861470566,0.4036330996190902
25,65,3.0,3.0,0.2,1.2,True,True,True,15,12,80.0,3.941781661571541,867.0183263031831,8.670183263031833,1.1686208816951316,62.09052363479557,0.46004606238278983
30,65,3.0,3.0,0.2,1.2,True,True,True,15,12,80.0,3.941781661571541,867.0183263031831,8.670183263031833,1.1686208816951316,62.09052363479557,0.46004606238278983
35,65,3.0,3.0,0.2,1.2,True,True,True,15,12,80.0,3.941781661571541,867.0183263031831,8.670183263031833,1.1686208816951316,62.09052363479557,0.46004606238278983
25,65,3.0,5.0,0.2,1.2,True,True,True,15,9,60.0,2.4818537989312395,858.443279811414,8.58443279811414,2.068051320755793,61.46932981788465,0.31835914816468946
30,65,3.0,5.0,0.2,1.2,True,True,True,15,9,60.0,2.4818537989312395,858.443279811414,8.58443279811414,2.068051320755793,61.46932981788465,0.31835914816468946
35,65,3.0,5.0,0.2,1.2,True,True,True,15,9,60.0,2.4818537989312395,858.443279811414,8.58443279811414,2.068051320755793,61.46932981788465,0.31835914816468946
25,65,2.5,5.0,0.2,1.2,True,True,True,15,8,53.333333333333336,2.2451076168086996,840.790389261263,8.40790389261263,2.0975102026884205,61.21187531148135,0.27973374974759796
30,65,2.5,5.0,0.2,1.2,True,True,True,15,8,53.333333333333336,2.2451076168086996,840.790389261263,8.40790389261263,2.0975102026884205,61.21187531148135,0.27973374974759796
35,65,2.5,5.0,0.2,1.2,True,True,True,15,8,53.333333333333336,2.2451076168086996,840.790389261263,8.40790389261263,2.0975102026884205,61.21187531148135,0.27973374974759796
25,65,3.0,4.0,0.2,1.2,True,True,True,15,10,66.66666666666666,2.623619496419041,790.5452801436368,7.905452801436367,2.0680513207557967,56.98131688315025,0.3421289532130612
30,65,3.0,4.0,0.2,1.2,True,True,True,15,10,66.66666666666666,2.623619496419041,790.5452801436368,7.905452801436367,2.0680513207557967,56.98131688315025,0.3421289532130612
35,65,3.0,4.0,0.2,1.2,True,True,True,15,10,66.66666666666666,2.623619496419041,790.5452801436368,7.905452801436367,2.0680513207557967,56.98131688315025,0.3421289532130612
25,65,2.5,4.0,0.2,1.2,True,True,True,15,9,60.0,2.339702774534823,781.0804106294072,7.810804106294072,2.227051382554583,57.27633716076742,0.3008423239851216
30,65,2.5,4.0,0.2,1.2,True,True,True,15,9,60.0,2.339702774534823,781.0804106294072,7.810804106294072,2.227051382554583,57.27633716076742,0.3008423239851216
35,65,2.5,4.0,0.2,1.2,True,True,True,15,9,60.0,2.339702774534823,781.0804106294072,7.810804106294072,2.227051382554583,57.27633716076742,0.3008423239851216
25,70,2.0,3.0,0.2,1.2,True,True,True,8,6,75.0,4.305698289650171,663.3419106086549,6.633419106086549,1.0590184924386439,89.57510037909447,0.35094073979542884
30,70,2.0,3.0,0.2,1.2,True,True,True,8,6,75.0,4.305698289650171,663.3419106086549,6.633419106086549,1.0590184924386439,89.57510037909447,0.35094073979542884
35,70,2.0,3.0,0.2,1.2,True,True,True,8,6,75.0,4.305698289650171,663.3419106086549,6.633419106086549,1.0590184924386439,89.57510037909447,0.35094073979542884
25,70,2.0,4.0,0.2,1.2,True,True,True,8,5,62.5,3.195286211589963,659.4058170096541,6.594058170096541,1.0590184924386454,89.11231725490902,0.2869784841780128
30,70,2.0,4.0,0.2,1.2,True,True,True,8,5,62.5,3.195286211589963,659.4058170096541,6.594058170096541,1.0590184924386454,89.11231725490902,0.2869784841780128
35,70,2.0,4.0,0.2,1.2,True,True,True,8,5,62.5,3.195286211589963,659.4058170096541,6.594058170096541,1.0590184924386454,89.11231725490902,0.2869784841780128
25,70,1.5,3.0,0.2,1.2,True,True,True,8,5,62.5,3.250443611933759,641.4552134538444,6.414552134538444,1.0783579899181865,89.01090011027827,0.280585540441219
30,70,1.5,3.0,0.2,1.2,True,True,True,8,5,62.5,3.250443611933759,641.4552134538444,6.414552134538444,1.0783579899181865,89.01090011027827,0.280585540441219
35,70,1.5,3.0,0.2,1.2,True,True,True,8,5,62.5,3.250443611933759,641.4552134538444,6.414552134538444,1.0783579899181865,89.01090011027827,0.280585540441219
25,65,2.0,2.0,0.2,1.2,True,True,True,15,11,73.33333333333333,2.6936735200338977,618.584604851827,6.18584604851827,2.274291789425462,47.697988835415345,0.3339237556783783
30,65,2.0,2.0,0.2,1.2,True,True,True,15,11,73.33333333333333,2.6936735200338977,618.584604851827,6.18584604851827,2.274291789425462,47.697988835415345,0.3339237556783783
35,65,2.0,2.0,0.2,1.2,True,True,True,15,11,73.33333333333333,2.6936735200338977,618.584604851827,6.18584604851827,2.274291789425462,47.697988835415345,0.3339237556783783
25,70,1.5,4.0,0.2,1.2,True,True,True,8,4,50.0,2.5903469463027076,601.105560947617,6.011055609476171,1.0783579899181857,83.98325028047246,0.22297480778665157
30,70,1.5,4.0,0.2,1.2,True,True,True,8,4,50.0,2.5903469463027076,601.105560947617,6.011055609476171,1.0783579899181857,83.98325028047246,0.22297480778665157
35,70,1.5,4.0,0.2,1.2,True,True,True,8,4,50.0,2.5903469463027076,601.105560947617,6.011055609476171,1.0783579899181857,83.98325028047246,0.22297480778665157
25,70,2.0,2.0,0.2,1.2,True,True,True,8,7,87.5,6.798670178216189,561.0676412374887,5.610676412374887,1.0590184924386388,76.6725421888517,0.41822871386451593
30,70,2.0,2.0,0.2,1.2,True,True,True,8,7,87.5,6.798670178216189,561.0676412374887,5.610676412374887,1.0590184924386388,76.6725421888517,0.41822871386451593
35,70,2.0,2.0,0.2,1.2,True,True,True,8,7,87.5,6.798670178216189,561.0676412374887,5.610676412374887,1.0590184924386388,76.6725421888517,0.41822871386451593
25,70,2.0,5.0,0.2,1.2,True,True,True,8,4,50.0,2.432513922305497,550.1404446318284,5.501404446318284,1.0590184924386405,75.36618860651267,0.21582901473520336
30,70,2.0,5.0,0.2,1.2,True,True,True,8,4,50.0,2.432513922305497,550.1404446318284,5.501404446318284,1.0590184924386405,75.36618860651267,0.21582901473520336
35,70,2.0,5.0,0.2,1.2,True,True,True,8,4,50.0,2.432513922305497,550.1404446318284,5.501404446318284,1.0590184924386405,75.36618860651267,0.21582901473520336
25,70,1.5,2.0,0.2,1.2,True,True,True,8,6,75.0,3.972325662086216,540.8468991357004,5.408468991357004,1.078357989918182,76.27041274812753,0.3216366414785025
