trade_number,direction,entry_time,exit_time,entry_price,exit_price,position_size,profit_loss,profit_loss_pct,exit_reason
1,short,2021-04-15 00:00:00,2021-04-15 13:00:00,1.4313,1.4826160320444615,1948.7087371322395,-100.0,-3.461181515331313,stop_loss
2,short,2021-07-31 00:00:00,2021-08-01 02:00:00,1.3188,1.3511819666183176,3055.5036211951797,-98.94321626369087,-2.3965659265984596,stop_loss
3,short,2021-10-01 10:00:00,2021-10-31 00:00:00,2.228,2.072696787821075,2100.6692077220778,326.2406756845963,7.492809034658077,take_profit
4,short,2022-03-31 00:00:00,2022-04-15 00:00:00,1.1896,0.997637524919593,1754.5836498645726,336.81422016361756,19.241705557925837,take_profit
5,short,2022-05-31 06:00:00,2022-06-15 00:00:00,0.6509,0.5350680662933965,3003.6055400490814,347.9134377957522,21.64807451676416,take_profit
6,short,2022-08-15 02:00:00,2022-08-31 00:00:00,0.5791,0.530116789663605,7337.040806002573,359.3918130471369,9.240079033806525,take_profit
7,short,2022-10-31 00:00:00,2022-11-15 00:00:00,0.4039,0.372686707212964,11889.173747834204,371.10026118709106,8.375209574941934,take_profit
8,short,2023-06-30 10:00:00,2023-07-15 00:00:00,0.2957,0.3033482492148317,15029.42019752224,-114.94875122507523,-2.521276860713051,stop_loss
9,short,2023-10-31 00:00:00,2023-11-15 00:00:00,0.3039,0.3118569603053373,14290.536319251318,-113.70923023426408,-2.5514775419944846,stop_loss
10,short,2024-01-01 19:00:00,2024-01-15 00:00:00,0.6187,0.589796549178444,12972.400614529188,374.94714319956705,4.900579846019282,take_profit
11,short,2024-02-15 00:00:00,2024-02-15 13:00:00,0.5826,0.597662438944346,7706.377686043072,-116.07684337809418,-2.52022512422746,stop_loss
12,short,2024-05-15 19:00:00,2024-06-15 00:00:00,0.4524,0.42608581053058453,14545.399494638998,382.750398210271,6.175795771431036,take_profit
13,short,2024-11-01 13:00:00,2024-11-15 00:00:00,0.3571,0.362772876515854,20893.252980793248,-118.52484417453901,-1.5637543165678447,stop_loss
14,short,2024-12-11 14:00:00,2024-12-12 03:00:00,1.0892,1.1312505761306466,2786.8629078343347,-117.18919087156303,-3.717176107390574,stop_loss
15,short,2025-02-17 04:00:00,2025-02-17 14:00:00,0.8064,0.8221550079138783,7359.908587999594,-115.95541804935442,-1.9163062636880057,stop_loss
