symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,usd_size
BTC,SELL,LIMIT,IOC,2.88600000,90204.52,90649.90,FILLED,260330.24
XRP,SELL,LIMIT,IOC,227058.40000000,1.09,1.10,FILLED,246835.19
ETH,SELL,LIMIT,IOC,52.16000000,3107.57,3121.04,FILLED,162090.85
XRP,SELL,LIMIT,IOC,213364.80000000,1.08,1.09,FILLED,229900.57
BTCUSDC,BUY,LIMIT,IOC,2.37900000,92758.60,92325.60,FILLED,220672.71
LTC,BUY,LIMIT,IOC,7044.74600000,88.46,86.97,FILLED,623178.23
XRP,BUY,LIMIT,IOC,560713.30000000,1.12,1.10,FILLED,628671.75
ETH,BUY,LIMIT,IOC,326.08000000,3130.21,3113.73,FILLED,1020698.88
SOL,BUY,LIMIT,IOC,3422.00000000,239.87,237.69,FILLED,820839.93
BTC,BUY,LIMIT,IOC,10.95900000,92733.80,92242.28,FILLED,1016269.71
BTC,BUY,LIMIT,IOC,2.85200000,92853.96,92436.82,FILLED,264819.49
1000PEPE,SELL,LIMIT,IOC,6161760.00000000,0.02,0.02,FILLED,119184.46
PNUT,SELL,LIMIT,IOC,235064.00000000,1.60,1.64,FILLED,376628.83
1000PEPE,BUY,LIMIT,IOC,5987422.00000000,0.02,0.02,FILLED,118710.82
ETH,SELL,LIMIT,IOC,42.69400000,3065.89,3080.87,FILLED,130895.11
IO,SELL,LIMIT,IOC,52582.80000000,2.28,2.31,FILLED,119746.98
APE,SELL,LIMIT,IOC,529987.00000000,1.06,1.07,FILLED,559560.27
ARKM,SELL,LIMIT,IOC,139326.00000000,1.92,1.96,FILLED,267915.26
1000PEPE,BUY,LIMIT,IOC,5742346.00000000,0.02,0.02,FILLED,109297.52
NEIRO,BUY,LIMIT,IOC,71578931.00000000,0.00,0.00,FILLED,127751.21
BTC,SELL,LIMIT,IOC,2.16000000,92889.12,93336.07,FILLED,200640.50
BTC,SELL,LIMIT,IOC,2.01800000,92793.60,93267.10,FILLED,187257.48
BTC,SELL,LIMIT,IOC,1.42000000,93116.01,93501.30,FILLED,132224.73
GRASS,SELL,LIMIT,IOC,59575.30000000,2.10,2.14,FILLED,124980.66
1000PEPE,SELL,LIMIT,IOC,5953463.00000000,0.02,0.02,FILLED,109190.08
FIL,SELL,LIMIT,IOC,93363.90000000,4.08,4.12,FILLED,381018.08
ETHUSDC,SELL,LIMIT,IOC,37.96600000,3067.77,3081.03,FILLED,116470.96
PNUT,SELL,LIMIT,IOC,106052.00000000,1.40,1.40,FILLED,148128.99
DOGE,SELL,LIMIT,IOC,371240.00000000,0.38,0.38,FILLED,139304.84
TROY,SELL,LIMIT,IOC,33824197.00000000,0.00,0.00,FILLED,106894.61
MOODENG,SELL,LIMIT,IOC,337724.00000000,0.40,0.40,FILLED,135260.45
ENA,SELL,LIMIT,IOC,940203.00000000,0.51,0.51,FILLED,475726.26
PNUT,SELL,LIMIT,IOC,151036.00000000,1.29,1.31,FILLED,194691.07
NEIRO,SELL,LIMIT,IOC,71842405.00000000,0.00,0.00,FILLED,119394.17
GOAT,SELL,LIMIT,IOC,417373.00000000,0.89,0.90,FILLED,370526.43
